,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
10979,28.0,management,married,university.degree,no,yes,no,telephone,jun,wed,695.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,yes
16771,51.0,technician,married,professional.course,no,yes,yes,cellular,jul,thu,137.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
27491,50.0,admin.,divorced,high.school,no,yes,no,cellular,nov,fri,430.0,1,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
40097,35.0,technician,single,professional.course,no,no,no,cellular,jul,mon,562.0,4,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.8270000000000001,4991.6,yes
12436,47.0,services,single,basic.9y,no,no,no,cellular,jul,mon,64.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
21807,32.0,technician,single,university.degree,unknown,yes,no,cellular,aug,wed,322.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
39628,41.0,admin.,married,university.degree,no,no,no,telephone,may,mon,128.0,2,999.0,0.0,nonexistent,-1.8,93.876,-40.0,0.682,5008.7,no
40238,31.0,student,single,university.degree,no,no,no,cellular,jul,fri,608.0,3,6.0,2.0,success,-1.7,94.215,-40.3,0.885,4991.6,yes
6627,37.0,management,married,university.degree,no,no,no,telephone,may,wed,83.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41146,41.0,admin.,married,university.degree,no,yes,no,cellular,nov,fri,252.0,4,999.0,0.0,nonexistent,-1.1,94.767,-50.8,1.04,4963.6,yes
27728,24.0,services,single,unknown,no,no,no,cellular,mar,tue,103.0,1,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.7990000000000002,5099.1,no
30004,78.0,retired,married,basic.4y,no,yes,no,telephone,apr,tue,137.0,2,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
5452,30.0,blue-collar,single,university.degree,no,no,no,telephone,may,fri,245.0,4,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40168,47.0,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,392.0,2,6.0,1.0,success,-1.7,94.215,-40.3,0.846,4991.6,yes
38894,53.0,admin.,married,university.degree,no,yes,no,cellular,nov,tue,409.0,2,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
35652,39.0,technician,married,professional.course,no,yes,yes,cellular,may,mon,525.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
36591,29.0,admin.,single,university.degree,no,yes,yes,cellular,jun,thu,449.0,1,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
12288,55.0,blue-collar,married,basic.4y,unknown,no,no,telephone,jul,thu,385.0,6,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
30231,51.0,technician,married,professional.course,no,yes,yes,cellular,apr,thu,200.0,1,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
38959,38.0,technician,married,university.degree,no,yes,yes,cellular,dec,wed,310.0,1,999.0,0.0,nonexistent,-3.0,92.713,-33.0,0.721,5023.5,yes
9833,47.0,blue-collar,divorced,basic.9y,unknown,no,no,telephone,jun,wed,305.0,2,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
40198,56.0,technician,married,professional.course,no,no,no,cellular,jul,mon,230.0,2,999.0,1.0,failure,-1.7,94.215,-40.3,0.87,4991.6,yes
19080,53.0,technician,married,high.school,no,yes,no,cellular,aug,tue,105.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
38006,24.0,student,single,basic.9y,no,unknown,unknown,cellular,sep,tue,137.0,1,999.0,0.0,nonexistent,-3.4,92.379,-29.8,0.7879999999999999,5017.5,yes
38142,43.0,services,married,basic.6y,no,yes,no,cellular,sep,tue,79.0,1,999.0,0.0,nonexistent,-3.4,92.379,-29.8,0.75,5017.5,no
16857,43.0,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,386.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
33302,28.0,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,590.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
37807,56.0,services,single,high.school,no,no,yes,cellular,aug,tue,555.0,3,999.0,0.0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,yes
16667,36.0,entrepreneur,married,university.degree,no,no,no,cellular,jul,wed,638.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
30288,60.0,admin.,married,high.school,no,yes,yes,cellular,apr,thu,482.0,2,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
15294,42.0,services,married,high.school,no,no,no,cellular,jul,thu,1153.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,yes
24656,52.0,management,married,university.degree,no,no,no,telephone,nov,mon,127.0,4,999.0,1.0,failure,-0.1,93.2,-42.0,4.191,5195.8,no
6238,40.0,retired,married,professional.course,no,no,no,telephone,may,tue,140.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5850,52.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,748.0,3,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
18031,25.0,services,single,high.school,unknown,yes,yes,cellular,jul,wed,843.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
38720,33.0,admin.,married,university.degree,no,yes,no,cellular,nov,tue,344.0,2,3.0,1.0,success,-3.4,92.649,-30.1,0.715,5017.5,yes
28617,54.0,blue-collar,married,basic.4y,no,no,no,cellular,apr,wed,266.0,2,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
39471,82.0,retired,divorced,basic.4y,no,no,no,cellular,apr,mon,529.0,1,6.0,2.0,success,-1.8,93.749,-34.6,0.643,5008.7,yes
40073,34.0,self-employed,single,university.degree,no,no,no,cellular,jul,thu,967.0,3,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,yes
14206,24.0,blue-collar,single,high.school,no,yes,no,cellular,jul,mon,51.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
37771,38.0,unemployed,single,high.school,no,yes,no,cellular,aug,mon,712.0,2,999.0,0.0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2,yes
37245,28.0,admin.,single,university.degree,no,no,no,cellular,aug,fri,262.0,1,4.0,2.0,success,-2.9,92.201,-31.4,0.8809999999999999,5076.2,yes
19345,51.0,entrepreneur,married,basic.9y,no,no,no,cellular,aug,wed,135.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
27635,29.0,blue-collar,single,basic.6y,no,no,no,telephone,nov,fri,69.0,2,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
30601,39.0,admin.,married,high.school,no,no,no,cellular,may,mon,1063.0,5,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
15028,49.0,services,single,high.school,no,yes,yes,cellular,jul,thu,205.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
7564,43.0,technician,divorced,professional.course,no,yes,no,telephone,may,fri,201.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
10753,58.0,admin.,single,professional.course,unknown,no,no,telephone,jun,tue,203.0,2,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
35247,30.0,blue-collar,married,professional.course,no,no,no,cellular,may,fri,1357.0,4,999.0,1.0,failure,-1.8,92.893,-46.2,1.25,5099.1,yes
16627,31.0,admin.,single,university.degree,no,yes,no,cellular,jul,wed,1327.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
20757,52.0,admin.,divorced,university.degree,no,no,no,cellular,aug,wed,559.0,2,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
11659,45.0,entrepreneur,married,university.degree,unknown,no,no,telephone,jun,fri,49.0,4,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
37495,22.0,student,single,basic.6y,no,yes,no,cellular,aug,thu,293.0,2,4.0,2.0,success,-2.9,92.201,-31.4,0.873,5076.2,yes
8066,38.0,admin.,single,university.degree,unknown,no,no,telephone,jun,mon,198.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
36407,59.0,admin.,married,unknown,no,no,no,cellular,jun,tue,245.0,1,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
38635,71.0,retired,married,professional.course,no,yes,no,cellular,nov,tue,102.0,1,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,yes
40466,26.0,student,single,high.school,no,yes,no,cellular,aug,wed,233.0,1,14.0,1.0,success,-1.7,94.027,-38.3,0.903,4991.6,yes
4862,46.0,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,176.0,4,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
31732,33.0,admin.,single,university.degree,no,yes,no,cellular,may,thu,143.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
18369,37.0,services,divorced,high.school,no,no,no,cellular,jul,thu,98.0,3,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
26750,42.0,blue-collar,divorced,basic.4y,unknown,no,no,cellular,nov,thu,14.0,6,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
27466,40.0,student,single,high.school,no,no,no,cellular,nov,fri,328.0,6,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
19926,37.0,technician,divorced,professional.course,no,no,no,cellular,aug,fri,780.0,2,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
27771,37.0,admin.,single,university.degree,no,yes,yes,cellular,mar,mon,161.0,2,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.703,5099.1,no
8130,59.0,retired,divorced,university.degree,no,no,no,telephone,jun,mon,605.0,6,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
2720,49.0,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,283.0,8,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
2667,43.0,management,married,university.degree,no,unknown,unknown,telephone,may,wed,407.0,4,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
34925,44.0,blue-collar,married,high.school,no,yes,no,cellular,may,fri,198.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
13223,31.0,technician,divorced,professional.course,no,yes,no,cellular,jul,wed,662.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
31508,33.0,admin.,single,high.school,no,yes,no,cellular,may,wed,281.0,3,999.0,1.0,failure,-1.8,92.893,-46.2,1.334,5099.1,no
38975,50.0,admin.,single,high.school,no,yes,no,telephone,dec,fri,705.0,2,999.0,0.0,nonexistent,-3.0,92.713,-33.0,0.718,5023.5,yes
40356,75.0,retired,married,unknown,no,no,no,telephone,aug,tue,676.0,2,999.0,4.0,failure,-1.7,94.027,-38.3,0.899,4991.6,yes
32392,39.0,blue-collar,married,basic.9y,unknown,no,no,cellular,may,fri,69.0,4,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.3130000000000002,5099.1,no
5636,44.0,management,single,university.degree,unknown,yes,no,telephone,may,mon,745.0,4,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
4020,32.0,blue-collar,divorced,basic.9y,no,no,no,telephone,may,mon,287.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
26815,50.0,blue-collar,married,professional.course,no,no,no,cellular,nov,thu,600.0,3,999.0,1.0,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
13982,38.0,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,fri,970.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
30972,55.0,blue-collar,married,high.school,no,no,no,cellular,may,tue,306.0,2,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
40784,32.0,technician,married,basic.9y,no,yes,no,cellular,sep,wed,155.0,1,6.0,1.0,success,-1.1,94.199,-37.5,0.879,4963.6,yes
742,59.0,management,married,basic.4y,unknown,yes,no,telephone,may,tue,88.0,5,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39488,80.0,retired,divorced,basic.4y,no,yes,no,telephone,apr,wed,623.0,2,999.0,0.0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,yes
28362,37.0,blue-collar,divorced,basic.9y,unknown,yes,no,cellular,apr,thu,435.0,2,999.0,1.0,failure,-1.8,93.075,-47.1,1.435,5099.1,no
7447,46.0,housemaid,married,basic.4y,no,no,no,telephone,may,fri,68.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
30612,43.0,admin.,married,high.school,no,yes,no,cellular,may,mon,76.0,4,3.0,1.0,success,-1.8,92.893,-46.2,1.354,5099.1,no
39941,23.0,student,single,basic.6y,no,no,no,cellular,jun,fri,276.0,1,14.0,1.0,success,-1.7,94.055,-39.8,0.748,4991.6,yes
2966,60.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,150.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
23835,29.0,admin.,single,university.degree,no,no,no,cellular,aug,fri,97.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30610,59.0,management,married,university.degree,no,no,no,telephone,may,mon,340.0,8,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
11597,46.0,technician,divorced,professional.course,unknown,yes,no,telephone,jun,fri,365.0,3,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
3564,29.0,blue-collar,single,high.school,no,yes,no,telephone,may,fri,803.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes
38642,36.0,admin.,single,university.degree,no,no,yes,cellular,nov,tue,187.0,1,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,yes
38231,36.0,technician,married,professional.course,unknown,no,no,cellular,oct,thu,667.0,1,999.0,0.0,nonexistent,-3.4,92.431,-26.9,0.741,5017.5,yes
36250,28.0,admin.,single,university.degree,no,no,no,cellular,jun,mon,69.0,1,999.0,1.0,failure,-2.9,92.963,-40.8,1.266,5076.2,yes
23616,42.0,housemaid,married,university.degree,no,yes,yes,cellular,aug,thu,2372.0,3,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,yes
4672,45.0,admin.,single,professional.course,no,yes,no,telephone,may,wed,565.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,yes
39420,71.0,retired,married,professional.course,no,no,no,cellular,apr,thu,559.0,1,999.0,0.0,nonexistent,-1.8,93.749,-34.6,0.64,5008.7,yes
31311,33.0,services,married,high.school,no,no,no,cellular,may,wed,106.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
30627,24.0,technician,single,high.school,no,yes,no,cellular,may,mon,841.0,4,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
18395,37.0,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,thu,1150.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,yes
6959,28.0,entrepreneur,married,basic.9y,unknown,yes,no,telephone,may,thu,733.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
8301,53.0,admin.,married,high.school,no,no,no,telephone,jun,tue,177.0,26,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
29838,46.0,services,divorced,high.school,unknown,yes,no,cellular,apr,mon,81.0,2,999.0,1.0,failure,-1.8,93.075,-47.1,1.405,5099.1,no
23267,31.0,technician,single,high.school,no,no,no,cellular,aug,wed,1033.0,3,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
21133,35.0,technician,married,professional.course,no,yes,yes,cellular,aug,mon,882.0,4,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
3695,28.0,blue-collar,single,basic.9y,no,no,no,telephone,may,fri,489.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
25789,52.0,admin.,married,high.school,no,yes,no,cellular,nov,wed,210.0,1,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
37925,60.0,retired,married,professional.course,no,yes,no,cellular,sep,thu,365.0,1,3.0,1.0,success,-3.4,92.379,-29.8,0.809,5017.5,yes
34001,35.0,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,622.0,3,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
38095,49.0,unemployed,married,high.school,no,no,no,cellular,sep,wed,292.0,1,999.0,0.0,nonexistent,-3.4,92.379,-29.8,0.768,5017.5,yes
33612,55.0,blue-collar,divorced,basic.9y,no,no,no,cellular,may,tue,133.0,3,999.0,1.0,failure,-1.8,92.893,-46.2,1.291,5099.1,no
40298,31.0,technician,single,university.degree,no,yes,no,telephone,jul,thu,426.0,1,6.0,2.0,success,-1.7,94.215,-40.3,0.899,4991.6,yes
8529,39.0,admin.,married,high.school,no,yes,no,telephone,jun,wed,1141.0,4,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
18481,38.0,services,married,high.school,no,yes,no,telephone,jul,thu,120.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
38656,71.0,retired,married,professional.course,no,yes,yes,telephone,nov,tue,383.0,1,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,yes
38981,46.0,admin.,married,university.degree,no,unknown,unknown,cellular,dec,fri,696.0,10,999.0,0.0,nonexistent,-3.0,92.713,-33.0,0.718,5023.5,yes
9338,41.0,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,1085.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
40226,24.0,services,single,high.school,no,yes,no,cellular,jul,thu,355.0,1,11.0,2.0,success,-1.7,94.215,-40.3,0.884,4991.6,yes
10676,33.0,services,married,high.school,unknown,yes,no,telephone,jun,tue,1345.0,3,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
20779,36.0,admin.,unknown,university.degree,no,yes,no,cellular,aug,wed,529.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
36870,57.0,retired,married,basic.4y,no,yes,yes,cellular,jun,tue,162.0,3,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
37538,28.0,unemployed,married,professional.course,no,yes,no,telephone,aug,fri,275.0,6,999.0,0.0,nonexistent,-2.9,92.201,-31.4,0.8690000000000001,5076.2,yes
18689,25.0,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,8.0,21,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
19998,33.0,technician,married,professional.course,no,no,no,cellular,aug,fri,922.0,7,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
7247,32.0,admin.,divorced,university.degree,no,yes,no,telephone,may,thu,147.0,4,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
21622,35.0,technician,married,professional.course,unknown,no,no,cellular,aug,tue,349.0,2,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
29345,28.0,admin.,single,university.degree,no,no,no,telephone,apr,fri,394.0,2,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
7941,55.0,admin.,married,high.school,no,no,yes,telephone,jun,mon,250.0,2,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
39755,61.0,admin.,married,unknown,no,no,no,cellular,may,thu,173.0,3,9.0,2.0,success,-1.8,93.876,-40.0,0.6990000000000001,5008.7,yes
36509,28.0,services,single,basic.6y,no,no,no,cellular,jun,wed,385.0,2,4.0,1.0,success,-2.9,92.963,-40.8,1.26,5076.2,yes
33046,33.0,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,1388.0,2,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,yes
40638,85.0,retired,married,basic.4y,no,no,no,cellular,sep,tue,728.0,1,3.0,2.0,success,-1.1,94.199,-37.5,0.8809999999999999,4963.6,yes
39756,22.0,student,single,high.school,unknown,yes,yes,telephone,may,thu,214.0,2,1.0,1.0,success,-1.8,93.876,-40.0,0.6990000000000001,5008.7,yes
17391,43.0,services,married,basic.6y,unknown,unknown,unknown,cellular,jul,mon,939.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
19955,41.0,technician,divorced,university.degree,no,yes,no,cellular,aug,fri,167.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
19205,53.0,services,married,high.school,no,yes,no,cellular,aug,wed,406.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
38557,82.0,retired,single,basic.4y,no,yes,no,cellular,oct,thu,251.0,2,999.0,0.0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
36672,28.0,technician,single,professional.course,no,yes,yes,cellular,jun,fri,149.0,1,3.0,1.0,success,-2.9,92.963,-40.8,1.268,5076.2,yes
38040,42.0,management,married,basic.6y,no,yes,no,telephone,sep,thu,230.0,3,999.0,0.0,nonexistent,-3.4,92.379,-29.8,0.778,5017.5,yes
33127,38.0,technician,married,high.school,no,yes,no,cellular,may,tue,114.0,6,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
39972,34.0,unemployed,single,university.degree,no,no,no,cellular,jun,tue,401.0,1,999.0,0.0,nonexistent,-1.7,94.055,-39.8,0.7609999999999999,4991.6,yes
40389,26.0,unemployed,single,university.degree,no,yes,no,cellular,aug,thu,508.0,3,6.0,2.0,success,-1.7,94.027,-38.3,0.904,4991.6,yes
19267,36.0,technician,divorced,professional.course,no,yes,yes,cellular,aug,wed,81.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
40116,22.0,services,single,professional.course,no,no,no,cellular,jul,tue,363.0,1,999.0,1.0,failure,-1.7,94.215,-40.3,0.835,4991.6,yes
38780,34.0,admin.,single,university.degree,no,yes,no,cellular,nov,thu,89.0,1,3.0,2.0,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
39763,29.0,technician,married,professional.course,no,no,no,cellular,may,fri,538.0,2,999.0,2.0,failure,-1.8,93.876,-40.0,0.6990000000000001,5008.7,yes
4268,47.0,blue-collar,married,unknown,unknown,no,no,telephone,may,tue,1334.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
32259,37.0,admin.,single,university.degree,no,yes,no,cellular,may,fri,105.0,1,999.0,1.0,failure,-1.8,92.893,-46.2,1.3130000000000002,5099.1,no
2478,42.0,admin.,divorced,university.degree,no,no,no,telephone,may,tue,434.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
39272,33.0,admin.,single,university.degree,no,no,no,cellular,mar,mon,427.0,1,6.0,2.0,success,-1.8,93.369,-34.8,0.6459999999999999,5008.7,yes
10463,30.0,technician,divorced,professional.course,no,yes,no,telephone,jun,mon,80.0,3,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
27918,28.0,admin.,single,high.school,no,yes,no,cellular,mar,fri,300.0,1,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,yes
35040,30.0,management,single,university.degree,no,yes,no,cellular,may,fri,637.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
16175,37.0,admin.,married,university.degree,no,yes,no,telephone,jul,tue,135.0,3,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
15520,37.0,technician,married,professional.course,no,yes,no,cellular,jul,fri,728.0,6,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
30634,56.0,housemaid,married,high.school,no,no,no,cellular,may,mon,9.0,8,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
14892,51.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,561.0,9,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
1439,48.0,technician,married,professional.course,no,yes,no,telephone,may,thu,237.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
27118,48.0,blue-collar,married,basic.4y,unknown,yes,yes,cellular,nov,fri,53.0,1,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
15787,41.0,technician,single,university.degree,no,yes,no,cellular,jul,mon,553.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
15606,30.0,technician,single,university.degree,no,yes,no,cellular,jul,mon,463.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
32918,47.0,blue-collar,married,high.school,no,yes,yes,cellular,may,mon,57.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,no
11435,31.0,admin.,single,university.degree,no,no,no,telephone,jun,fri,25.0,3,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
38407,38.0,admin.,married,university.degree,no,yes,no,cellular,oct,wed,576.0,1,6.0,1.0,success,-3.4,92.431,-26.9,0.735,5017.5,yes
39947,83.0,retired,divorced,basic.4y,no,no,yes,cellular,jun,fri,472.0,2,999.0,0.0,nonexistent,-1.7,94.055,-39.8,0.748,4991.6,yes
8350,24.0,admin.,single,high.school,no,no,no,telephone,jun,tue,768.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
13002,26.0,management,single,university.degree,no,no,no,cellular,jul,tue,517.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
15450,32.0,services,single,professional.course,no,yes,no,cellular,jul,fri,671.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
12866,29.0,admin.,married,high.school,no,yes,no,cellular,jul,tue,681.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
7137,37.0,admin.,married,university.degree,no,yes,no,telephone,may,thu,1059.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
1141,45.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,408.0,3,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
39123,35.0,admin.,married,university.degree,no,no,no,cellular,dec,tue,554.0,1,999.0,0.0,nonexistent,-3.0,92.713,-33.0,0.7070000000000001,5023.5,no
38046,34.0,admin.,single,university.degree,no,no,no,cellular,sep,fri,260.0,3,3.0,2.0,success,-3.4,92.379,-29.8,0.773,5017.5,yes
36893,47.0,technician,married,professional.course,no,yes,no,cellular,jun,fri,63.0,5,999.0,1.0,failure,-2.9,92.963,-40.8,1.224,5076.2,no
37615,31.0,admin.,single,university.degree,no,no,no,telephone,aug,mon,122.0,1,999.0,0.0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,no
